"Class"	"Phylum"
"387"	"Gammaproteobacteria"	"Proteobacteria"
"388"	"Clostridia"	"Firmicutes"
"389"	"Gammaproteobacteria"	"Proteobacteria"
"390"	"Gammaproteobacteria"	"Proteobacteria"
"391"	"Gammaproteobacteria"	"Proteobacteria"
"392"	"Cyanobacteriia"	"Cyanobacteria"
"393"	"Gammaproteobacteria"	"Proteobacteria"
"394"	"Gammaproteobacteria"	"Proteobacteria"
"395"	"Gammaproteobacteria"	"Proteobacteria"
"396"	"Actinomycetia"	"Actinobacteriota"
"397"	"Desulfotomaculia"	"Firmicutes"
"398"	"Alphaproteobacteria"	"Proteobacteria"
"399"	"Gammaproteobacteria"	"Proteobacteria"
"400"	"Alphaproteobacteria"	"Proteobacteria"
"401"	"Alphaproteobacteria"	"Proteobacteria"
"402"	"Gammaproteobacteria"	"Proteobacteria"
"403"	"Gammaproteobacteria"	"Proteobacteria"
"404"	"Actinomycetia"	"Actinobacteriota"
"405"	"Gammaproteobacteria"	"Proteobacteria"
"406"	"Clostridia"	"Firmicutes"
"407"	"Thermoanaerobacteria"	"Firmicutes"
"408"	"Alphaproteobacteria"	"Proteobacteria"
"409"	"Bacteroidia"	"Bacteroidota"
"410"	"Chloroflexia"	"Chloroflexota"
"411"	"Gammaproteobacteria"	"Proteobacteria"
"412"	"Alphaproteobacteria"	"Proteobacteria"
"413"	"Desulfuromonadia"	"Desulfobacterota"
"414"	"Alphaproteobacteria"	"Proteobacteria"
"415"	"Thermotogae"	"Thermotogota"
"416"	"Bacilli"	"Firmicutes"
"417"	"Bacilli"	"Firmicutes"
"418"	"Alphaproteobacteria"	"Proteobacteria"
"419"	"Thermotogae"	"Thermotogota"
"420"	"Actinomycetia"	"Actinobacteriota"
"421"	"Gammaproteobacteria"	"Proteobacteria"
"422"	"Clostridia"	"Firmicutes"
"423"	"Clostridia"	"Firmicutes"
"424"	"Bacilli"	"Firmicutes"
"425"	"Clostridia"	"Firmicutes"
"426"	"Clostridia"	"Firmicutes"
