EC number	Scoring Based on Function
1.1.1.288	1
1.1.1.289	1
1.1.1.290	1
1.1.1.291	1
1.1.1.292	1
1.1.1.293	1
1.1.1.294	1
1.1.1.295	1
1.1.1.296	1
1.1.1.297	1
1.1.1.298	1
1.1.1.299	1
1.1.1.300	1
1.1.1.301	1
1.1.1.302	1
1.1.1.303	1
1.1.1.304	1
1.1.1.305	1
1.1.1.306	1
1.1.1.307	1
1.1.1.308	1
1.1.1.309	1
1.1.1.310	1
1.1.1.311	1
1.1.1.312	1
1.1.1.313	1
1.1.1.314	1
1.1.1.315	1
1.1.1.316	1
1.1.1.317	1
1.1.1.318	1
1.1.1.319	1
1.1.1.320	1
1.1.1.321	1
1.1.1.322	1
1.1.1.323	1
1.1.1.324	1
1.1.1.325	1
1.1.1.326	1
1.1.1.327	1
1.1.1.328	1
1.1.1.329	1
1.1.1.330	1
1.1.1.331	1
1.1.1.332	1
1.1.1.333	1
1.1.1.334	1
1.1.1.335	1
1.1.1.336	1
1.1.1.337	1
1.1.1.338	1
1.1.1.339	1
1.1.1.340	1
1.1.1.341	1
1.1.1.342	1
1.1.1.343	1
1.1.1.344	1
1.1.1.345	1
1.1.1.346	1
1.1.1.347	1
1.1.1.348	1
1.1.1.349	1
1.1.1.350	1
1.1.1.351	1
1.1.1.352	1
1.1.1.353	1
1.1.1.354	1
1.1.1.355	1
1.1.1.356	1
1.1.1.357	1
1.1.1.358	1
1.1.1.359	1
1.1.1.360	1
1.1.1.361	1
1.1.1.362	1
1.1.1.363	1
1.1.1.364	1
1.1.1.365	1
1.1.1.366	1
1.1.1.367	1
1.1.1.368	1
1.1.1.369	1
1.1.1.370	1
1.1.1.371	1
1.1.1.372	1
1.1.1.373	1
1.1.1.374	1
1.1.1.375	1
1.1.1.376	1
1.1.1.377	1
1.1.1.378	1
1.1.1.379	1
1.1.1.380	1
1.1.1.381	1
1.1.1.382	1
1.1.1.383	1
1.1.1.384	1
1.1.1.385	1
1.1.1.386	1
1.1.1.387	1
1.1.1.388	1
1.1.1.389	1
1.1.1.390	1
1.1.1.391	1
1.1.1.392	1
1.1.1.393	1
1.1.1.394	1
1.1.1.395	1
1.1.1.396	1
1.1.1.397	1
1.1.1.398	1
1.1.1.399	1
1.1.1.400	1
1.1.1.401	1
1.1.1.402	1
1.1.1.403	1
1.1.1.404	1
1.1.1.405	1
1.1.1.406	1
1.1.1.407	1
1.1.1.408	1
1.1.1.409	1
1.1.1.410	1
1.1.1.411	1
1.1.1.412	1
1.1.1.413	1
1.1.1.414	1
1.1.1.415	1
1.1.1.416	1
1.1.1.417	1
1.1.1.418	1
1.1.1.419	1
1.1.1.420	1
1.1.1.421	1
1.1.1.422	1
1.1.1.423	1
1.1.1.424	1
1.1.2.1	1
1.1.2.2	1
1.1.2.B2	1
1.1.2.3	1
1.1.2.B3	1
1.1.2.4	1
1.1.2.5	1
1.1.2.B5	1
1.1.2.6	1
1.1.2.7	1
1.1.2.8	1
1.1.2.9	1
1.1.2.10	1
1.1.3.1	1
1.1.3.2	1
1.1.3.3	1
1.1.3.4	1
1.1.3.B4	1
1.1.3.5	1
1.1.3.6	5
1.1.3.7	1
1.1.3.8	1
1.1.3.9	1
1.1.3.10	1
1.1.3.11	1
1.1.3.12	1
1.1.3.13	1
1.1.3.14	1
1.1.3.15	1
1.1.3.16	1
1.1.3.17	1
1.1.3.18	5
1.1.3.19	1
1.1.3.20	1
1.1.3.21	1
1.1.3.22	1
1.1.3.23	1
1.1.3.24	1
1.1.3.25	1
1.1.3.26	1
1.1.3.27	1
1.1.3.28	1
1.1.3.29	1
1.1.3.30	1
1.1.3.31	1
1.1.3.32	1
1.1.3.33	1
1.1.3.34	1
1.1.3.35	1
1.1.3.36	1
1.1.3.37	1
1.1.3.38	1
1.1.3.39	1
1.1.3.40	1
1.1.3.41	1
1.1.3.42	1
1.1.3.43	1
1.1.3.44	1
1.1.3.45	1
1.1.3.46	1
1.1.3.47	1
1.1.3.48	1
1.1.3.49	1
1.1.4.B1	1
1.1.4.1	1
1.1.4.2	1
1.1.5.1	1
1.1.5.B1	1
1.1.5.2	1
1.1.5.B2	1
1.1.5.3	1
1.1.5.B3	1
1.1.5.4	5
1.1.5.5	1
1.1.5.6	1
1.1.5.7	1
1.1.5.8	1
1.1.5.9	1
1.1.5.10	1
1.1.5.11	1
1.1.5.12	1
1.1.5.13	1
1.1.7.1	1
1.1.9.1	1
1.1.98.1	1
1.1.98.2	1
1.1.98.3	1
1.1.98.4	1
1.1.98.5	1
1.1.98.6	1
1.1.98.7	1
1.1.99.1	1
1.1.99.B1	1
1.1.99.2	1
1.1.99.3	1
1.1.99.B3	1
1.1.99.4	1
1.1.99.5	1
1.1.99.6	1
1.1.99.B6	1
1.1.99.7	1
1.1.99.B7	1
1.1.99.8	1
1.1.99.B9	1
1.1.99.9	1
1.1.99.10	1
1.1.99.11	1
1.1.99.12	1
1.1.99.13	1
1.1.99.14	1
1.1.99.15	1
1.1.99.16	1
1.1.99.17	1
1.1.99.18	1
1.1.99.19	1
1.1.99.20	1
1.1.99.21	1
1.1.99.22	1
1.1.99.23	1
1.1.99.24	1
1.1.99.25	1
1.1.99.26	1
1.1.99.27	1
1.1.99.28	1
1.1.99.29	1
1.1.99.30	1
1.1.99.31	1
1.1.99.32	1
1.1.99.33	1
1.1.99.34	1
1.1.99.35	1
1.1.99.36	1
1.1.99.37	5
1.1.99.38	1
1.1.99.39	1
1.1.99.40	1
1.1.99.41	1
1.1.99.42	1
1.2.1.1	1
1.2.1.2	1
1.2.1.3	1
1.2.1.4	1
1.2.1.5	1
1.2.1.6	1
1.2.1.7	1
1.2.1.B8	1
1.2.1.8	1
1.2.1.9	1
1.2.1.10	1
1.2.1.11	5
1.2.1.12	0.5
1.2.1.13	1
1.2.1.14	1
1.2.1.15	1
1.2.1.16	1
1.2.1.17	1
1.2.1.18	1
1.2.1.19	1
1.2.1.20	1
1.2.1.21	1
1.2.1.22	1
1.2.1.23	1
1.2.1.B23	1
1.2.1.24	1
1.2.1.25	1
1.2.1.B25	1
1.2.1.26	1
1.2.1.27	1
1.2.1.28	1
1.2.1.29	1
1.2.1.B29	1
1.2.1.30	1
1.2.1.31	1
1.2.1.32	1
1.2.1.33	1
1.2.1.34	1
1.2.1.35	1
1.2.1.36	1
1.2.1.37	1
1.2.1.38	1
1.2.1.39	1
1.2.1.40	1
1.2.1.41	1
1.2.1.42	1
1.2.1.43	1
1.2.1.44	1
1.2.1.45	1
1.2.1.46	1
1.2.1.47	1
1.2.1.48	1
1.2.1.49	1
1.2.1.50	1
1.2.1.51	1
1.2.1.52	1
1.2.1.53	1
1.2.1.54	1
1.2.1.55	1
1.2.1.56	1
1.2.1.57	1
1.2.1.58	1
1.2.1.59	1
1.2.1.60	1
1.2.1.61	1
1.2.1.62	1
1.2.1.63	1
1.2.1.64	1
1.2.1.65	1
1.2.1.66	1
1.2.1.67	1
1.2.1.68	1
1.2.1.69	1
1.2.1.70	1
1.2.1.71	1
1.2.1.72	1
1.2.1.73	1
1.2.1.74	1
